线路ID,运动记录时间,活动类型,地区,总里程(km),运动耗时,最高海拔(m),上传者
26,2023-08-02 10:04:03,步行,武汉市汉阳区,0.4998845855261214,0.1,12.292141542751212,zs_2708710
27,2023-08-02 10:37:04,步行,武汉市汉阳区,0.4275353539977416,0.17,14.407493357833207,zs_2708710
28,2023-08-02 11:00:14,步行,武汉市汉阳区,2.3870135019782386,0.11,13.912125474700533,zs_2708710
29,2023-08-03 11:55:13,步行,武汉市汉阳区,1.5655244368800205,0.28,15.73682675551911,哇咔咔哇伊
30,2023-08-03 17:25:13,步行,武汉市汉阳区,1.4359193343651313,0.16,18.22454506329596,@xw
31,2023-08-07 16:20:07,步行,武汉市汉阳区,2.4467762351195868,0.31,21.430921238162533,@xw
32,2023-08-15 19:15:45,步行,武汉市汉阳区,69.30909915503062,5787.71,182.66864013671875,zs_1420753
33,2023-08-17 14:56:22,步行,武汉市汉阳区,59.212271251991126,6.62,77.4076204387638,
34,2023-08-17 14:56:22,步行,武汉市汉阳区,59.212271251991126,6.62,77.4076204387638,
35,2023-08-19 19:43:19,步行,武汉市汉阳区,15.848133496185751,3.52,37.75978308812159,黄方帅
36,2023-08-22 20:47:21,步行,武汉市汉阳区,10.268543261042383,2.0,43.89331519665379,黄方帅
37,2023-08-23 19:07:07,步行,武汉市汉阳区,9.061288122251634,2.19,49.74403002920914,西西
38,2023-08-25 18:23:41,步行,武汉市汉阳区,0.0,0.01,40.678092952916295,鵸飉
39,2023-08-30 13:53:49,步行,武汉市汉阳区,3.4939748249419003,0.83,16.97265625,zs_8812358
40,2023-09-04 17:17:16,步行,武汉市汉阳区,16.220735713647624,3.75,53.183694593556325,黄方帅
41,2023-09-05 15:35:57,步行,武汉市汉阳区,1.0717723219980668,0.37,46.694580078125,Liya
42,2023-09-06 18:26:06,步行,武汉市汉阳区,0.12653780975484863,0.04,28.913374247919794,White丶
43,2023-09-06 18:56:31,步行,武汉市汉阳区,11.112734160087832,1.83,29.24331625980264,黄方帅
44,2023-09-08 08:51:29,步行,武汉市汉阳区,85.65454676444008,2.4,45.97954761850328,佳京
45,2023-09-09 10:02:15,步行,武汉市汉阳区,1.3959532330794135,11.1,27.17607118401974,zs0_7145015
46,2023-09-10 06:34:34,步行,武汉市汉阳区,14.518517370321886,1.59,70.8671919365267,anew101
47,2023-09-11 11:27:14,步行,武汉市汉阳区,6.452578289741328,3.12,25.420368159502672,无为觉知
48,2023-09-12 06:15:41,步行,武汉市汉阳区,11.11895160875216,1.1,59.777324223359216,anew101
49,2023-09-13 09:32:21,步行,武汉市汉阳区,3.7172178644067304,1.04,32.0814160929645,zs_7492935
50,2023-09-14 19:10:56,步行,武汉市汉阳区,10.014991407311664,2.38,75.2125316826723,金律师
51,0,未知类型,武汉市汉阳区,0,0,0,匿名
52,2023-09-18 12:19:05,步行,武汉市汉阳区,0.0,0.0,15.300148035749528,小鱼善水
53,2023-09-19 13:00:50,步行,武汉市汉阳区,25.506043237153676,5.19,48.91788637136836,小鱼善水
54,2023-09-18 20:22:50,步行,武汉市汉阳区,9.900304071106909,1.79,30.0744483959097,当、情歌老了
55,2023-09-19 14:39:12,步行,武汉市汉阳区,1.9950106782056465,0.62,32.990138499511296,zs_1460076
56,2023-09-22 19:10:04,步行,武汉市汉阳区,9.833335378094377,2.07,45.83160400390625,会在坚持
57,2023-09-23 16:38:36,步行,武汉市汉阳区,6.609147618627293,1.32,46.00976862836669,圆滚滚_LBL4226359
58,2023-09-25 11:32:45,步行,武汉市汉阳区,19.67242854590828,1.22,26.893533402095798,AYO-Weiko168
59,2023-09-25 14:26:29,步行,武汉市汉阳区,2.567517950821799,2.3,44.60607646074039,kadzwz
60,2023-09-25 19:08:47,步行,武汉市汉阳区,11.494039458341495,2.32,73.14505975683196,雪花
61,2023-09-27 19:32:16,步行,武汉市汉阳区,13.238158583545234,3.12,67.4642843740676,会在坚持
62,2023-09-28 05:40:41,步行,武汉市汉阳区,10.208749882556601,1.08,22.079984189299623,anew101
63,2023-09-28 11:24:15,步行,武汉市汉阳区,0.6121609062429032,1.12,26.593739009976993,zs_6318905
64,2023-09-30 06:25:08,步行,武汉市汉阳区,11.265607841092232,1.26,44.67135710898321,anew101
65,2023-09-30 09:34:15,步行,武汉市汉阳区,8.344139692855562,3.11,49.46328552074061,Dawnson.wang
66,2023-10-02 06:32:34,步行,武汉市汉阳区,4.682455227642983,0.71,30.562761331908405,anew101
67,2023-10-03 08:06:40,步行,武汉市汉阳区,7.054795860248495,2.78,54.70368687584176,李达平同学
68,2023-10-03 19:29:55,步行,武汉市汉阳区,16.58221122910875,3.25,37.80503689856275,黄方帅
69,2023-10-03 19:39:53,步行,武汉市汉阳区,5.586921791107058,2.87,44.77841914932833,Atopos._LBL2445910
70,2023-10-05 16:44:50,步行,武汉市汉阳区,1.8484802033857122,0.45,27.361356792619638,大伟龙灯堤
71,2023-10-06 17:51:46,步行,武汉市汉阳区,13.159595265611102,2.01,57.302535370292674,黄方帅
72,2023-10-07 10:15:35,步行,武汉市汉阳区,13.210005713888805,7.52,96.59599329380447,️
73,2023-10-07 15:34:30,步行,武汉市汉阳区,6.49072409646356,4.25,66.99805330381369,Leanne_LBL4124198
74,2023-10-08 09:26:51,步行,武汉市汉阳区,3.2702728640776857,1.32,49.835467330420016,zs_1392576
75,2023-10-08 11:01:02,步行,武汉市汉阳区,0.5241444995844139,0.25,64.3954104834735,天才小虔
76,2023-10-08 09:41:22,步行,武汉市汉阳区,8.422083714076688,2.79,82.82696533203125,再见理想H
77,2023-10-09 13:59:45,步行,武汉市汉阳区,1.2512859190309742,0.42,33.89618426616824,zs_0341743
78,2023-10-10 15:23:33,步行,武汉市汉阳区,9.186823351148888,2.69,22.3492431640625,暮溪
79,2023-10-11 08:43:11,步行,武汉市汉阳区,3.8313628954035486,2.03,86.54578820834016,zs_0341743
80,2023-10-11 18:00:58,步行,武汉市汉阳区,5.714831484648546,1.11,71.9,山高路远。
81,2023-10-11 18:52:31,步行,武汉市汉阳区,14.987562314810626,2.61,95.75028883507893,黄方帅
82,2023-10-11 19:31:54,步行,武汉市汉阳区,9.251608182736577,2.51,65.12460188689512,会在坚持
83,2023-10-12 14:04:13,步行,武汉市汉阳区,17.738817245629523,2.15,55.20918527295714,zs_7568779
84,2023-10-15 10:35:31,步行,武汉市汉阳区,3.6092518933207365,2.47,13.0799400795363,zs_2947588
85,2023-10-15 15:50:05,步行,武汉市汉阳区,3.113640571183252,0.99,49.30609359258232,木头人_LBL4177819
86,2023-10-15 16:00:35,步行,武汉市汉阳区,2.915524851659336,2.3,22.374043349207998,zs_2947588
87,2023-10-17 16:15:06,步行,武汉市汉阳区,5.516885674309205,2.56,55.41097081221808,乐歌_7201105
88,2023-10-17 15:16:01,步行,武汉市汉阳区,3.0789017930814433,0.91,31.56500244140625,zs0_7136432
89,2023-10-18 07:16:10,步行,武汉市汉阳区,1.2907069368912378,0.7,6.632378480309287,zs_2947588
90,2023-10-18 07:16:10,步行,武汉市汉阳区,1.2907069368912378,0.7,6.632378480309287,zs_2947588
91,2023-10-18 08:46:15,步行,武汉市汉阳区,4.347479197363314,2.95,26.17502870017444,zs_6869270
92,2023-10-18 10:34:03,步行,武汉市汉阳区,1.4052569810712119,0.27,18.943865352935354,琛宸儿.玐玐～雪姨！
93,2023-10-18 10:54:32,步行,武汉市汉阳区,2.641103751025817,0.43,24.009434564290515,琛宸儿.玐玐～雪姨！
94,2023-10-18 11:35:53,步行,武汉市汉阳区,1.1949164254944178,0.38,24.282227817200233,琛宸儿.玐玐～雪姨！
95,0,未知类型,武汉市汉阳区,0,0,0,匿名
96,2023-10-18 12:00:21,步行,武汉市汉阳区,0.6422049442264328,0.07,22.271444616572317,琛宸儿.玐玐～雪姨！
97,2023-10-18 15:20:53,步行,武汉市汉阳区,5.47247822666191,2.19,43.06250284868533,zs_7933167
98,2023-10-18 15:20:04,步行,武汉市汉阳区,4.7375842017329814,2.21,46.151917812121056,漓辞
99,2023-10-19 12:47:06,步行,武汉市汉阳区,2.3303045964977396,1.32,55.348178242716315,zs_2947588
100,2023-10-19 19:31:31,步行,武汉市汉阳区,5.021210224920032,1.18,35.461762227118015,LBL_6342435
101,2023-10-20 00:14:03,步行,武汉市汉阳区,18.760525443649605,2.57,56.04425152590128,o_O_LBL4370511
102,2023-10-20 06:22:15,步行,武汉市汉阳区,9.823723961058556,1.02,40.24332347736022,anew101
103,2023-10-20 08:32:41,步行,武汉市汉阳区,13.658255085244281,1.05,30.252521714060652,ZG_71715298
104,2023-10-21 21:52:04,步行,武汉市汉阳区,4.502058316653406,0.86,34.75744035281241,临窗听雪
105,2023-10-22 17:09:42,步行,武汉市汉阳区,3.3837850668002325,1.21,21.097346057141113,zs_8285835
106,2023-10-22 18:01:06,步行,武汉市汉阳区,2.6803453908663917,1.18,20.336748129753712,zs_2728628
107,2023-10-23 07:12:47,步行,武汉市汉阳区,1.484879405238022,0.28,56.43052885867655,蜘蛛扑鱼
108,2023-10-23 13:19:34,步行,武汉市汉阳区,0.8174508829681022,1.56,46.16422280531526,zs_2845635
109,2023-10-23 13:21:09,步行,武汉市汉阳区,0.5932198589134832,1.28,35.56199525414652,zs_0390632
110,2023-10-23 19:41:51,步行,武汉市汉阳区,9.509373424369471,1.87,42.089372203565546,朝侠＆滚滚长江
111,2023-10-23 19:59:30,步行,武汉市汉阳区,1.101550999606678,0.23,19.566295320110694,暴哥
112,2023-10-25 12:01:26,步行,武汉市汉阳区,1.0075428511545386,0.08,24.854336772656744,白_LBL2754844
113,0,未知类型,武汉市汉阳区,0,0,0,匿名
114,2023-10-26 19:12:51,步行,武汉市汉阳区,5.909738422744823,1.51,89.92132282683718,zs0_0128856
115,2023-10-27 09:48:19,步行,武汉市汉阳区,3.51484246841302,2.27,45.91724177273894,zs_2298772
116,2023-10-27 10:19:00,步行,武汉市汉阳区,7.44194996936849,1.26,20.053440012838788,白_LBL2754844
117,0,未知类型,武汉市汉阳区,0,0,0,匿名
118,2023-10-27 12:28:38,步行,武汉市汉阳区,6.50465853815268,3.29,73.39665440151565,玺_LBL2697593
119,2023-10-27 16:05:36,步行,武汉市汉阳区,0.6623688751451288,0.2,17.288234694357538,zs_3318510
120,114.264897,未知类型,武汉市汉阳区,0,0,0,30.590034
121,2023-10-27 19:35:19,步行,武汉市汉阳区,4.542234279796236,1.61,29.822754873059566,哲哲89564
122,2023-10-28 08:55:58,步行,武汉市汉阳区,10.088085107885824,3.71,74.92413254814808,LBL_2651330
123,2023-10-28 09:36:44,步行,武汉市汉阳区,2.2960277191411977,1.18,10.940426494100558,弗洛尔
124,2023-10-28 18:53:22,步行,武汉市汉阳区,1.1686639515391752,0.44,78.23120808087508,黄杨八景
125,2023-10-29 15:28:57,步行,武汉市汉阳区,8.139099218073332,2.1,30.80382746052956,朝侠＆滚滚长江
126,2023-10-30 22:23:34,步行,武汉市汉阳区,3.5494749924258313,0.67,51.597023797426985,临窗听雪
127,2023-11-01 16:43:21,步行,武汉市汉阳区,0.14046363052665012,0.04,23.82170964697209,j九
128,2023-11-02 08:44:46,步行,武汉市汉阳区,1.0310790775636594,0.76,23.41082763671875,陈杰成_LBL4363826
129,2023-11-02 08:44:06,步行,武汉市汉阳区,32.20443735316772,5.17,27.836462205944084,zs_6012206
130,2023-11-02 10:24:39,步行,武汉市汉阳区,3.2416945096901237,1.49,76.31863916591115,jacky_LBL2678965
131,2023-11-02 21:25:22,步行,武汉市汉阳区,5.147442507565899,0.63,19.61059919556704,朝侠＆滚滚长江
132,2023-11-03 23:07:52,步行,武汉市汉阳区,25.246805474647555,6.88,72.72708213805764,zs_9359900
133,2023-11-04 15:00:12,步行,武汉市汉阳区,4.550075038621595,2.07,90.85328185243175,梦话
134,2023-11-04 15:40:18,步行,武汉市汉阳区,5.066522350881628,1.09,147.79815849289298,一见
135,2023-11-06 14:34:14,步行,武汉市汉阳区,10.231658940634542,4.06,50.436384373786225,zs_7033139
136,2023-11-06 18:02:06,步行,武汉市汉阳区,49.80893661794229,20.01,137.49965053471578,孙跑跑
137,2023-11-07 12:56:17,步行,武汉市汉阳区,3.2457788843490123,2.29,43.76800530217588,少喝奶茶
138,2023-11-07 13:04:02,步行,武汉市汉阳区,1.949849743907158,0.96,6.823638916015625,zs_2947588
139,2023-11-08 12:42:57,步行,武汉市汉阳区,1.3758928914950495,0.9,19.67842891438919,zs_2947588
140,0,未知类型,武汉市汉阳区,0,0,0,匿名
141,0,未知类型,武汉市汉阳区,0,0,0,匿名
142,2023-11-10 10:55:42,步行,武汉市汉阳区,7.921395906696858,1.78,22.13049777511295,朝侠＆滚滚长江
143,2023-11-12 14:38:01,步行,武汉市汉阳区,7.290501837409713,2.84,65.16569498503132,一个阿宅
144,2023-11-12 17:35:16,未知类型,武汉市汉阳区,1.6967367077697058,0.39,19.540748922021532,zs_0425003
145,2023-11-13 14:49:37,步行,武汉市汉阳区,8.10497886603802,2.48,84.01517458358353,zs_5518407
146,2023-11-14 11:00:57,步行,武汉市汉阳区,8.71757349076706,1.16,17.31211161147803,zs_2590418
147,2023-11-14 19:15:28,步行,武汉市汉阳区,9.031270259251114,2.25,73.26609883082847,zs_1370401
148,2023-11-14 19:29:58,步行,武汉市汉阳区,8.60847604767283,1.82,76.7746140264426,LBL_7587823
149,2023-11-16 12:33:54,步行,武汉市汉阳区,0.17410994439389235,0.07,7.536400011740625,zs_0425003
150,2023-11-16 12:50:52,步行,武汉市汉阳区,5.004794199147696,1.11,16.043520419858396,胡杨
151,2023-11-16 15:13:40,步行,武汉市汉阳区,2.1814818154292728,0.72,73.0,zs_0425003
152,2023-11-16 16:44:38,步行,武汉市汉阳区,5.564003171571109,0.61,42.93211597029314,zs_0425003
153,2023-11-16 16:44:38,步行,武汉市汉阳区,5.564003171571109,0.61,42.93211597029314,zs_0425003
154,2023-11-16 15:13:40,步行,武汉市汉阳区,2.1814416945837984,0.72,73.93,zs_0425003
155,2023-11-16 15:13:40,步行,武汉市汉阳区,2.1814340936981074,0.72,73.92787056184257,zs0_7130103
156,2023-11-17 19:40:01,步行,武汉市汉阳区,1.8909767911821131,1.33,27.025322554919573,LBL_7019958
157,2023-11-18 06:28:19,步行,武汉市汉阳区,6.107862753459932,0.6,15.814392009826026,老李属牛
158,2023-11-18 09:20:45,步行,武汉市汉阳区,8.242764314231005,2.54,80.94213627187165,whoismomo
159,2023-11-18 14:49:42,步行,武汉市汉阳区,3.5695298130650857,1.43,62.5151612642307,S50055000
160,2023-11-19 05:21:30,步行,武汉市汉阳区,8.215859228524698,3.84,25.74507015308594,龙马精神
161,2023-11-19 11:50:16,步行,武汉市汉阳区,49.42603448397466,6.62,214.50089457399514,想恰碗热干面
162,2023-11-21 05:43:25,步行,武汉市汉阳区,7.201424006010201,2.95,20.996875124068428,龙马精神
163,2023-11-21 19:09:13,步行,武汉市汉阳区,3.7828137620486944,0.46,14.85009765625,木易_LBL4103938
164,2023-11-22 19:53:44,步行,武汉市汉阳区,2.4146339779523753,0.28,18.93360539832152,木易_LBL4103938
165,2023-11-23 05:41:00,步行,武汉市汉阳区,13.042743989090264,4.31,69.56352291787778,精神
166,114.2675265,未知类型,武汉市汉阳区,0,0,0,30.5847815
167,2023-11-25 05:54:21,步行,武汉市汉阳区,10.097633754237634,3.3,19.37328864393687,精神
168,2023-11-25 15:53:40,步行,武汉市汉阳区,6.698426430743015,2.19,28.8912353515625,
169,2023-11-26 09:58:06,步行,武汉市汉阳区,28.648088047530997,7.86,44.20723327366638,zs_1150840
170,2023-11-26 15:13:59,步行,武汉市汉阳区,11.232212662637572,1.27,17.21003005086609,一张火灵灵
171,2023-11-29 17:10:05,步行,武汉市汉阳区,1.1202285112611514,0.39,16.82284761783516,zs0_7136432
172,2023-11-30 09:44:34,未知类型,武汉市汉阳区,0.12786299711568008,0.1,4.7705896445024045,zs0_7136432
173,2023-11-30 16:59:18,步行,武汉市汉阳区,6.685583747885174,1.59,39.10238826092228,zs_1037731
174,2023-11-30 18:30:19,步行,武汉市汉阳区,4.293604793386898,0.46,28.17462158203125,木易_LBL4103938
175,2023-11-30 20:06:27,步行,武汉市汉阳区,4.566715588552959,0.82,44.68077955276573,金楚狂歌
176,2023-12-01 18:39:58,步行,武汉市汉阳区,5.7163215388332524,1.34,100.6373291015625,LBL_7254046
177,2023-12-05 09:28:57,步行,武汉市汉阳区,1.9649740940081806,0.95,72.53118362221882,zs0_7195416
178,2023-12-05 09:25:58,步行,武汉市汉阳区,8.887794790331313,1.95,78.03836229169636,zs_4800789
179,2023-12-05 10:44:52,步行,武汉市汉阳区,1.41788804456097,0.44,12.79331734452524,zs0_7195416
180,2023-12-05 19:38:52,步行,武汉市汉阳区,7.039826956622316,1.59,17.12548250397801,zs0_6353617
181,2023-12-06 21:09:09,步行,武汉市汉阳区,27.338382575242267,14.86,257.4068234978671,若水_LBL4527731
182,2023-12-07 11:15:48,步行,武汉市汉阳区,13.878672653495686,8.74,56.85805675906677,依（Ran）然
183,2023-12-09 08:02:38,步行,武汉市汉阳区,17.310997459086295,5.82,87.2015380859375,LBL_7254046
184,2023-12-12 15:01:26,步行,武汉市汉阳区,1.7200990065168478,1.08,33.70255554129161,zs0_2568465
185,2023-12-13 17:58:33,步行,武汉市汉阳区,1.4216248654728045,0.31,49.69092436663048,潇湘旅客
186,2023-12-14 09:10:45,步行,武汉市汉阳区,45.99228974530665,5.16,59.32217398549383,长弓_LBL1187385
187,2023-12-15 22:43:36,步行,武汉市汉阳区,4.348313986238815,0.06,30.67035693327245,zs_7861959
188,2023-12-17 10:50:40,步行,武汉市汉阳区,11.079095799694638,2.61,28.679134768379402,朝侠＆滚滚长江
189,2023-12-19 09:36:07,步行,武汉市汉阳区,2.6783681709354945,1.69,17.30330791224331,开妍以宁
190,2023-12-19 15:46:54,步行,武汉市汉阳区,3.492847744851864,0.71,34.48681455379168,胡星
191,2023-12-20 11:43:01,步行,武汉市汉阳区,0.4517111854099015,0.16,19.99543482605922,zs_2875703
192,2023-12-20 16:54:59,步行,武汉市汉阳区,17.34478601526437,4.28,77.28060777421464,朝侠＆滚滚长江
193,2023-12-21 17:10:08,步行,武汉市汉阳区,2.2252532371591616,0.14,118.51208605825704,依（Ran）然
194,2023-12-21 21:29:17,步行,武汉市汉阳区,0.0,0.02,126.68609619140625,依（Ran）然
195,2023-12-23 13:53:33,未知类型,武汉市汉阳区,5.270632957820246,2.29,68.76,zs_0425003
196,2023-12-23 15:41:28,步行,武汉市汉阳区,0.028382138520195388,0.01,11.151385100075538,zs_5090790
197,2023-12-24 14:09:58,步行,武汉市汉阳区,25.272175597995968,0.68,49.7912988867033,孙有涛
198,2023-12-24 19:29:08,步行,武汉市汉阳区,5.872446580733587,0.64,77.37005853378547,lemon
199,2023-12-26 10:02:54,步行,武汉市汉阳区,1.7692609012842413,0.64,17.69091796875,秋实_广州
200,2023-12-26 10:42:20,步行,武汉市汉阳区,3.133595603638612,5.88,58.44499969680516,zs0_0106627
201,2023-12-27 09:33:00,步行,武汉市汉阳区,12.083305040331567,4.42,326.4700183465057,zs_1037731
202,2023-12-27 15:12:31,步行,武汉市汉阳区,4.1187061037654145,2.01,30.825404444414712,zs_1037731
203,2023-12-27 19:00:00,步行,武汉市汉阳区,10.36065214480567,2.45,53.34537911343212,鱼子酱的周一
204,2023-12-27 19:09:58,步行,武汉市汉阳区,5.695010997927991,2.4,84.54398309706356,zs_7125520
205,2023-12-27 19:18:21,步行,武汉市汉阳区,8.85674611694972,2.04,55.87914695025453,teriri
206,2023-12-28 18:25:33,步行,武汉市汉阳区,5.28988871664833,1.48,115.52645814139451,宝宝壮壮
207,2023-12-31 21:26:18,步行,武汉市汉阳区,2.3738499830595035,0.78,55.49060351101873,雨夜星空707305
208,2024-01-01 11:15:13,步行,武汉市汉阳区,8.100834422756945,2.86,72.02714328876604,chenxt99
209,2024-01-02 07:43:11,步行,武汉市汉阳区,5.905347651616242,1.2,28.95232528023442,晓京
210,2024-01-03 07:31:18,步行,武汉市汉阳区,14.382151097945563,2.66,77.11482702613277,晓京
211,0,未知类型,武汉市汉阳区,0,0,0,匿名
212,2024-01-04 08:55:36,步行,武汉市汉阳区,6.826298442377643,2.69,33.17499686227591,zs_6257276
213,0,未知类型,武汉市汉阳区,0,0,0,匿名
214,2024-01-05 09:49:26,步行,武汉市汉阳区,1.7160839235377292,0.68,34.0421142578125,阿尔
215,2024-01-05 09:49:26,步行,武汉市汉阳区,1.7160839235377292,0.68,34.0421142578125,阿尔
216,2024-01-05 10:36:53,步行,武汉市汉阳区,18.854449382795273,7.89,38.00847936004382,小东西_LBL3904372
217,2024-01-07 14:26:57,步行,武汉市汉阳区,3.9794581106444764,2.32,82.19321166571281,Miss Puff
218,2024-01-08 10:57:01,步行,武汉市汉阳区,3.082994757761729,0.71,77.89612496716737,哈哈大书
219,0,未知类型,武汉市汉阳区,0,0,0,匿名
220,2024-01-10 20:14:42,步行,武汉市汉阳区,2.3070480792956802,0.73,78.32372343326665,杨咩咩_LBL3456855
221,2024-01-10 20:14:42,步行,武汉市汉阳区,2.3070480792956802,0.73,78.32372343326665,杨咩咩_LBL3456855
222,0,未知类型,武汉市汉阳区,0,0,0,匿名
223,2024-01-11 09:53:07,步行,武汉市汉阳区,1.3542132490961387,1.28,60.821043557857266,zs0_2568465
224,2024-01-12 16:20:07,步行,武汉市汉阳区,2.3148467383036166,1.61,46.41222975931499,zs_1143351
225,2024-01-12 18:09:41,步行,武汉市汉阳区,0.5490434776755593,0.35,42.951418811170136,果冻_LBL1374236
226,2024-01-13 11:00:33,步行,武汉市汉阳区,4.767949978508188,2.4,83.89089264170032,杨咩咩_LBL3456855
227,2024-01-13 13:19:08,步行,武汉市汉阳区,16.990481790716363,4.41,42.73192681265786,叁叶╯ε╰
228,2024-01-14 18:03:56,步行,武汉市汉阳区,19.386535073651917,5.32,677.7158203125,雨夜星空707305
229,0,未知类型,武汉市汉阳区,0,0,0,匿名
230,2024-01-17 16:13:36,步行,武汉市汉阳区,7.250397456889338,1.6,56.21055326813155,zs_3457196
231,2024-01-20 16:37:46,步行,武汉市汉阳区,5.022140839832679,0.87,41.499880743651396,yuanzh_LBL4601425
232,2024-01-21 09:59:45,步行,武汉市汉阳区,2.3597334617721164,1.06,32.824619686747404,大王小王_团建
233,2024-01-21 11:24:03,步行,武汉市汉阳区,22.657782405481928,5.54,39.10223078587327,老K·领队
234,2024-01-22 14:21:21,步行,武汉市汉阳区,1.953965550401827,0.52,76.13818079535889,吴澳℡¹⁵⁶²³⁸⁴⁸⁵²⁷拓展
235,2024-01-23 15:24:39,步行,武汉市汉阳区,4.20467929438392,2.4,88.89403584356393,叁叶╯ε╰
236,2024-01-24 09:36:16,步行,武汉市汉阳区,23.344031635017497,1.83,40.101046362086436,zs_0501828
237,2024-01-24 09:52:02,步行,武汉市汉阳区,0.4272644849295363,0.14,38.376953125,一江明月~汪明月
238,2024-01-26 15:17:52,步行,武汉市汉阳区,0.9048062599042707,0.39,36.440431199246504,和安安
239,2024-01-26 10:46:22,步行,武汉市汉阳区,1.2003920081835504,1.36,24.6915226645741,Chen_AQ
240,2024-01-26 16:15:28,步行,武汉市汉阳区,1.3844340398356183,1.51,22.866081939012766,Chen_AQ
241,2024-01-27 07:05:26,步行,武汉市汉阳区,10.531566742703728,1.09,22.86158706502211,anew101
242,2024-01-27 11:53:27,步行,武汉市汉阳区,6.718844133167815,5.61,29.90797249250062,满意的易
243,2024-01-28 09:13:50,步行,武汉市汉阳区,17.527203506224712,6.85,78.14410231641924,老K·领队
244,2024-01-28 09:30:14,步行,武汉市汉阳区,16.154025640934375,7.7,67.52669461605863,Slowly1012
245,2024-01-28 14:55:26,步行,武汉市汉阳区,0.42043517321326584,0.22,10.186070413692274,ccxxwh
246,2024-01-28 10:11:09,步行,武汉市汉阳区,11.220124828933029,4.6,74.67179923104382,zs_8662697
247,2024-01-28 15:27:36,步行,武汉市汉阳区,3.6888793293696422,0.45,24.0453560622409,zs_8643049
248,2024-01-29 00:09:51,步行,武汉市汉阳区,4.019520593642554,0.5,50.23688640129835,凡爱
249,2024-01-29 06:52:03,步行,武汉市汉阳区,13.153109329802541,1.42,58.17949451443301,anew101
250,2024-01-29 10:09:11,步行,武汉市汉阳区,46.31527637695426,1.94,25.21629909035161,zs_7036310
251,2024-01-30 14:22:45,步行,武汉市汉阳区,5.947476833465352,1.81,25.638454046478802,王忠_LBL3081482
252,2024-01-30 14:33:11,步行,武汉市汉阳区,5.13779097053603,1.79,57.02302280166414,zs_9825153
253,2024-01-31 08:40:36,步行,武汉市汉阳区,40.4708296681117,57.46,108.10324753602626,zs_6012206
254,2024-02-03 17:00:02,步行,武汉市汉阳区,25.152915795841075,1.51,148.3317112330333,zs_2947588
255,2024-02-08 14:17:00,步行,武汉市汉阳区,5.684901059856923,2.36,86.0,孟庆军
256,2024-02-11 15:39:58,步行,武汉市汉阳区,0.4795033319451925,0.17,38.34060051084872,bj秋水长天
257,0,未知类型,武汉市汉阳区,0,0,0,匿名
