线路ID,轨迹点记录时间,经度,纬度,活动类型,地区,瞬时速度(m/s)
32,2022/9/18 11:45,114.2433757,30.5251986,步行,武汉汉阳区,8.130955
33,2022/9/18 11:45,114.2432748,30.5250846,步行,武汉汉阳区,8.35928
34,2022/9/18 11:00,114.2431679,30.5249611,步行,武汉汉阳区,9.271208
35,2022/9/18 11:00,114.2430562,30.5248337,步行,武汉汉阳区,8.580785
36,2022/9/18 11:00,114.2429476,30.5247054,步行,武汉汉阳区,8.832373
37,2022/9/18 11:00,114.2428448,30.5245819,步行,武汉汉阳区,8.268165
38,2022/9/18 11:00,114.2427448,30.5244698,步行,武汉汉阳区,7.387933
39,2022/9/18 11:01,114.2426417,30.5243699,步行,武汉汉阳区,7.4328804
40,2022/9/18 11:01,114.2425482,30.5242645,步行,武汉汉阳区,7.313694
41,2022/9/18 11:02,114.2424597,30.5241494,步行,武汉汉阳区,7.7972064
42,2022/9/18 11:02,114.242382,30.5240356,步行,武汉汉阳区,6.6552005
43,2022/9/18 11:02,114.2423211,30.5239268,步行,武汉汉阳区,6.227044
44,2022/9/18 11:03,114.2422673,30.5238147,步行,武汉汉阳区,6.5776544
45,2022/9/18 11:03,114.2422156,30.5236985,步行,武汉汉阳区,7.095179
46,2022/9/18 11:04,114.2421702,30.5235791,步行,武汉汉阳区,6.721183
47,2022/9/18 11:04,114.2421374,30.5234622,步行,武汉汉阳区,6.7090745
48,2022/9/18 11:05,114.2421178,30.5233431,步行,武汉汉阳区,6.8953447
49,2022/9/18 11:05,114.2421033,30.5232142,步行,武汉汉阳区,7.021709
50,2022/9/18 11:06,114.2420948,30.5230841,步行,武汉汉阳区,7.0261416
51,2022/9/18 11:06,114.2420797,30.5229544,步行,武汉汉阳区,6.6000066
52,2022/9/18 11:07,114.2420697,30.5228541,步行,武汉汉阳区,2.852183
53,2022/9/18 11:07,114.2420368,30.5228437,步行,武汉汉阳区,0
54,2022/9/18 11:07,114.2420429,30.5227816,步行,武汉汉阳区,3.2220461
55,2022/9/18 11:08,114.2420735,30.5226375,步行,武汉汉阳区,5.263316
56,2022/9/18 11:08,114.2421029,30.5225119,步行,武汉汉阳区,6.174462
57,2022/9/18 11:08,114.2421289,30.5223996,步行,武汉汉阳区,6.347824
58,2022/9/18 11:08,114.2421512,30.5222879,步行,武汉汉阳区,6.7192326
59,2022/9/18 11:09,114.2421796,30.5221719,步行,武汉汉阳区,6.48341
60,2022/9/18 11:09,114.2422105,30.5220554,步行,武汉汉阳区,6.3439126
61,2022/9/18 11:10,114.2422498,30.5219457,步行,武汉汉阳区,6.0401797
62,2022/9/18 11:10,114.2422883,30.5218352,步行,武汉汉阳区,6.1786227
63,2022/9/18 11:10,114.242326,30.5217301,步行,武汉汉阳区,5.553227
64,2022/9/18 11:10,114.2423788,30.5216218,步行,武汉汉阳区,0.29372367
65,2022/9/18 11:10,114.2424418,30.5215049,步行,武汉汉阳区,3.8914347
66,2022/9/18 11:10,114.2425169,30.5213569,步行,武汉汉阳区,5.360966
67,2022/9/18 11:10,114.2425718,30.5212502,步行,武汉汉阳区,5.4853673
68,2022/9/18 11:10,114.2426221,30.5211601,步行,武汉汉阳区,5.5620713
69,2022/9/18 11:10,114.2426811,30.521073,步行,武汉汉阳区,5.3191614
70,2022/9/18 11:10,114.2427331,30.5209924,步行,武汉汉阳区,4.8946176
71,2022/9/18 11:10,114.2428116,30.5208685,步行,武汉汉阳区,3.9889681
72,2022/9/18 11:10,114.2428908,30.5207431,步行,武汉汉阳区,3.1433594
73,2022/9/18 11:10,114.242952,30.5206453,步行,武汉汉阳区,0.8212673
74,2022/9/18 11:10,114.2430064,30.5205618,步行,武汉汉阳区,0.6646354
75,2022/9/18 11:10,114.2430778,30.5204951,步行,武汉汉阳区,3.7581997
76,2022/9/18 11:10,114.2432056,30.5203861,步行,武汉汉阳区,5.7033896
77,2022/9/18 11:10,114.2433069,30.5202974,步行,武汉汉阳区,5.808514
78,2022/9/18 11:10,114.2433958,30.5202208,步行,武汉汉阳区,5.3572736
79,2022/9/18 11:10,114.2434775,30.5201509,步行,武汉汉阳区,5.4954147
80,2022/9/18 11:10,114.2435679,30.5200821,步行,武汉汉阳区,5.52917
81,2022/9/18 11:10,114.2436646,30.5200183,步行,武汉汉阳区,5.922544
82,2022/9/18 11:11,114.2437669,30.5199577,步行,武汉汉阳区,5.498026
83,2022/9/18 11:11,114.2438628,30.5199055,步行,武汉汉阳区,4.9418864
84,2022/9/18 11:11,114.244027,30.5198136,步行,武汉汉阳区,6.128538
85,2022/9/18 11:11,114.244159,30.5197407,步行,武汉汉阳区,6.180207
86,2022/9/18 11:11,114.2442761,30.5196754,步行,武汉汉阳区,6.0066843
87,2022/9/18 11:11,114.2443846,30.5196189,步行,武汉汉阳区,5.6133914
88,2022/9/18 11:11,114.2444792,30.5195662,步行,武汉汉阳区,5.00713
89,2022/9/18 11:11,114.2445596,30.5194551,步行,武汉汉阳区,3.568886
90,2022/9/18 11:11,114.2445597,30.5193343,步行,武汉汉阳区,4.327543
91,2022/9/18 11:11,114.2444968,30.519243,步行,武汉汉阳区,5.5081453
92,2022/9/18 11:11,114.2444084,30.5191608,步行,武汉汉阳区,5.757216
93,2022/9/18 11:11,114.244319,30.5190852,步行,武汉汉阳区,5.087823
94,2022/9/18 11:11,114.2442367,30.5190161,步行,武汉汉阳区,3.9585764
95,2022/9/18 11:11,114.2441138,30.5189868,步行,武汉汉阳区,3.5537043
96,2022/9/18 11:11,114.2439506,30.5190677,步行,武汉汉阳区,6.8810167
97,2022/9/18 11:11,114.2438099,30.5191502,步行,武汉汉阳区,6.430498
98,2022/9/18 11:11,114.2436861,30.5192168,步行,武汉汉阳区,5.960858
99,2022/9/18 11:12,114.2435704,30.5192793,步行,武汉汉阳区,6.2027326
100,2022/9/18 11:12,114.2434557,30.5193366,步行,武汉汉阳区,5.573875
101,2022/9/18 11:12,114.2433442,30.5193927,步行,武汉汉阳区,5.6695404
102,2022/9/18 11:12,114.2432339,30.5194444,步行,武汉汉阳区,5.6542583
103,2022/9/18 11:12,114.2431241,30.5194871,步行,武汉汉阳区,5.5232706
104,2022/9/18 11:12,114.2430134,30.5195243,步行,武汉汉阳区,5.3555536
105,2022/9/18 11:12,114.2429068,30.5195632,步行,武汉汉阳区,5.3039727
106,2022/9/18 11:12,114.2428026,30.519608,步行,武汉汉阳区,5.5876822
107,2022/9/18 11:12,114.2426976,30.5196626,步行,武汉汉阳区,6.1808047
108,2022/9/18 11:12,114.2425832,30.5197261,步行,武汉汉阳区,6.4292674
109,2022/9/18 11:13,114.2424596,30.519782,步行,武汉汉阳区,6.298108
110,2022/9/18 11:13,114.2423364,30.5198316,步行,武汉汉阳区,6.148424
111,2022/9/18 11:13,114.2422193,30.5198741,步行,武汉汉阳区,5.591463
112,2022/9/18 11:13,114.2421055,30.5199093,步行,武汉汉阳区,5.7183604
113,2022/9/18 11:13,114.2419894,30.5199417,步行,武汉汉阳区,5.4795427
114,2022/9/18 11:13,114.2418746,30.5199817,步行,武汉汉阳区,5.548366
115,2022/9/18 11:13,114.2417439,30.5200472,步行,武汉汉阳区,3.5206656
116,2022/9/18 11:13,114.2416437,30.5201084,步行,武汉汉阳区,0.2328693
117,2022/9/18 11:13,114.2415411,30.5201097,步行,武汉汉阳区,0.777854
118,2022/9/18 11:13,114.2414367,30.5201313,步行,武汉汉阳区,0.5156382
119,2022/9/18 11:13,114.2413355,30.5201765,步行,武汉汉阳区,1.2620693
120,2022/9/18 11:13,114.2412326,30.5201836,步行,武汉汉阳区,0.9680656
121,2022/9/18 11:13,114.2411345,30.5202121,步行,武汉汉阳区,0.8235726
122,2022/9/18 11:13,114.241054,30.5202746,步行,武汉汉阳区,0.9490034
123,2022/9/18 11:13,114.2409697,30.5203408,步行,武汉汉阳区,0.91427773
124,2022/9/18 11:13,114.2408729,30.5203943,步行,武汉汉阳区,0.8704556
125,2022/9/18 11:13,114.2407707,30.5204407,步行,武汉汉阳区,1.1121001
126,2022/9/18 11:13,114.2406838,30.5205018,步行,武汉汉阳区,1.0388448
127,2022/9/18 11:13,114.2405798,30.5205328,步行,武汉汉阳区,0.8988058
128,2022/9/18 11:13,114.240468,30.5205594,步行,武汉汉阳区,1.0370879
129,2022/9/18 11:14,114.2403451,30.5205794,步行,武汉汉阳区,0.96467257
130,2022/9/18 11:14,114.2402355,30.5206245,步行,武汉汉阳区,0.9954856
131,2022/9/18 11:14,114.24013,30.5206749,步行,武汉汉阳区,0.7111469
132,2022/9/18 11:14,114.2400134,30.5206985,步行,武汉汉阳区,1.0335037
133,2022/9/18 11:14,114.2399005,30.5207154,步行,武汉汉阳区,1.2762488
134,2022/9/18 11:14,114.2398246,30.5207911,步行,武汉汉阳区,1.017321
135,2022/9/18 11:14,114.2397237,30.5208304,步行,武汉汉阳区,1.0503321
136,2022/9/18 11:14,114.2396164,30.520873,步行,武汉汉阳区,1.3456744
137,2022/9/18 11:14,114.2395208,30.5209222,步行,武汉汉阳区,0.92113763
138,2022/9/18 11:14,114.2394189,30.5209541,步行,武汉汉阳区,0.21236573
139,2022/9/18 11:14,114.239443,30.5209059,步行,武汉汉阳区,0.81811893
140,2022/9/18 11:14,114.2395332,30.5209184,步行,武汉汉阳区,0.9435782
141,2022/9/18 11:14,114.2396395,30.5208773,步行,武汉汉阳区,1.0454311
142,2022/9/18 11:14,114.2397454,30.5208196,步行,武汉汉阳区,0.8706336
143,2022/9/18 11:14,114.2398311,30.5207506,步行,武汉汉阳区,1.0728871
144,2022/9/18 11:14,114.2399143,30.5206826,步行,武汉汉阳区,1.0078373
145,2022/9/18 11:14,114.2400131,30.5206576,步行,武汉汉阳区,0.7878593
146,2022/9/18 11:14,114.240122,30.5206387,步行,武汉汉阳区,1.033816
147,2022/9/18 11:14,114.2402464,30.5206313,步行,武汉汉阳区,1.0563359
148,2022/9/18 11:14,114.2403579,30.520607,步行,武汉汉阳区,1.2133763
149,2022/9/18 11:14,114.2404551,30.5205488,步行,武汉汉阳区,0.92257535
150,2022/9/18 11:14,114.2405502,30.5204857,步行,武汉汉阳区,1.0438619
151,2022/9/18 11:15,114.2406503,30.5204402,步行,武汉汉阳区,1.2041136
152,2022/9/18 11:16,114.2407536,30.5203854,步行,武汉汉阳区,1.1399424
153,2022/9/18 11:16,114.2408523,30.5204091,步行,武汉汉阳区,0.77183074
154,2022/9/18 11:16,114.2408046,30.5203964,步行,武汉汉阳区,1.3928301
155,2022/9/18 11:16,114.2408279,30.5204449,步行,武汉汉阳区,0.8036299
156,2022/9/18 11:17,114.24077,30.5205051,步行,武汉汉阳区,0.657472
157,2022/9/18 11:17,114.2407587,30.5204403,步行,武汉汉阳区,0.3749588
158,2022/9/18 11:17,114.2408187,30.5203592,步行,武汉汉阳区,0.9646271
159,2022/9/18 11:17,114.240919,30.5203165,步行,武汉汉阳区,1.0893062
160,2022/9/18 11:17,114.241037,30.5202893,步行,武汉汉阳区,0.81485313
161,2022/9/18 11:17,114.2411576,30.5202553,步行,武汉汉阳区,0.88867784
162,2022/9/18 11:18,114.241243,30.5201948,步行,武汉汉阳区,0.6319829
163,2022/9/18 11:18,114.2413388,30.5201498,步行,武汉汉阳区,0.77248764
164,2022/9/18 11:18,114.2414359,30.5201795,步行,武汉汉阳区,0.76628083
165,2022/9/18 11:18,114.2415363,30.5201636,步行,武汉汉阳区,0.7522968
166,2022/9/18 11:18,114.2416508,30.5201351,步行,武汉汉阳区,0.9630243
167,2022/9/18 11:19,114.2417711,30.5200919,步行,武汉汉阳区,0.6383298
168,2022/9/18 11:19,114.2415942,30.5200522,步行,武汉汉阳区,2.1435027
169,2022/9/18 11:19,114.2414293,30.5200679,步行,武汉汉阳区,3.2594264
170,2022/9/18 11:19,114.2413765,30.520074,步行,武汉汉阳区,0
171,2022/9/18 11:19,114.241265,30.5201219,步行,武汉汉阳区,2.5133674
172,2022/9/18 11:20,114.2410987,30.5201848,步行,武汉汉阳区,4.375512
173,2022/9/18 11:20,114.2408914,30.5202019,步行,武汉汉阳区,4.7403703
174,2022/9/18 11:21,114.2407334,30.5202221,步行,武汉汉阳区,6.3436704
175,2022/9/18 11:21,114.2405845,30.5202667,步行,武汉汉阳区,7.3823457
176,2022/9/18 11:21,114.240411,30.5203276,步行,武汉汉阳区,7.923916
177,2022/9/18 11:21,114.2402379,30.5203924,步行,武汉汉阳区,8.17591
178,2022/9/18 11:21,114.2400759,30.5204526,步行,武汉汉阳区,7.703469
179,2022/9/18 11:22,114.2399213,30.5205087,步行,武汉汉阳区,7.3945427
180,2022/9/18 11:22,114.2397732,30.5205539,步行,武汉汉阳区,6.779949
181,2022/9/18 11:22,114.239638,30.5206035,步行,武汉汉阳区,5.8664346
182,2022/9/18 11:22,114.2395272,30.520645,步行,武汉汉阳区,4.620028
183,2022/9/18 11:22,114.2396034,30.5205329,步行,武汉汉阳区,7.8634005
184,2022/9/18 11:22,114.2397927,30.52043,步行,武汉汉阳区,9.975467
185,2022/9/18 11:23,114.2400173,30.5203541,步行,武汉汉阳区,10.004927
186,2022/9/18 11:23,114.2402299,30.5202907,步行,武汉汉阳区,9.185603
187,2022/9/18 11:23,114.2404188,30.5202199,步行,武汉汉阳区,8.474911
188,2022/9/18 11:24,114.2405619,30.5201573,步行,武汉汉阳区,6.8254857
189,2022/9/18 11:24,114.2406787,30.5201116,步行,武汉汉阳区,5.8269696
190,2022/9/18 11:25,114.2408254,30.5200662,步行,武汉汉阳区,3.698334
191,2022/9/18 11:25,114.2409588,30.5200252,步行,武汉汉阳区,3.2134857
192,2022/9/18 11:25,114.2411203,30.5199804,步行,武汉汉阳区,5.613892
193,2022/9/18 11:25,114.2412471,30.5199427,步行,武汉汉阳区,5.6996145
194,2022/9/18 11:26,114.2413737,30.5198832,步行,武汉汉阳区,7.074541
195,2022/9/18 11:26,114.2415086,30.5198188,步行,武汉汉阳区,6.942386
196,2022/9/18 11:26,114.2416323,30.51976,步行,武汉汉阳区,6.084676
197,2022/9/18 11:26,114.2417433,30.5197024,步行,武汉汉阳区,5.9956822
198,2022/9/18 11:26,114.2418544,30.5196446,步行,武汉汉阳区,5.442683
199,2022/9/18 11:27,114.2419562,30.5195948,步行,武汉汉阳区,4.7591705
200,2022/9/18 11:27,114.2420606,30.5195495,步行,武汉汉阳区,5.252719
201,2022/9/18 11:27,114.2421673,30.5194974,步行,武汉汉阳区,5.682974
202,2022/9/18 11:28,114.2422636,30.5194437,步行,武汉汉阳区,5.1889086
203,2022/9/18 11:28,114.2423612,30.5194025,步行,武汉汉阳区,5.0955873
204,2022/9/18 11:28,114.2424815,30.5193757,步行,武汉汉阳区,6.173077
205,2022/9/18 11:28,114.2426097,30.5193374,步行,武汉汉阳区,7.0634604
206,2022/9/18 11:28,114.2427477,30.519284,步行,武汉汉阳区,7.3338223
207,2022/9/18 11:28,114.2428802,30.5192196,步行,武汉汉阳区,6.8972745
208,2022/9/18 11:28,114.2430003,30.5191592,步行,武汉汉阳区,6.1399083
209,2022/9/18 11:28,114.2431092,30.5191053,步行,武汉汉阳区,6.183904
210,2022/9/18 11:28,114.2432285,30.5190459,步行,武汉汉阳区,7.5485067
211,2022/9/18 11:29,114.2433506,30.5189767,步行,武汉汉阳区,6.4882755
212,2022/9/18 11:29,114.2434699,30.518919,步行,武汉汉阳区,5.049731
213,2022/9/18 11:29,114.2435654,30.5188661,步行,武汉汉阳区,4.952964
214,2022/9/18 11:29,114.2437043,30.5187899,步行,武汉汉阳区,3.0910144
215,2022/9/18 11:29,114.2438227,30.5186976,步行,武汉汉阳区,3.1159637
216,2022/9/18 11:29,114.2438333,30.5185579,步行,武汉汉阳区,6.9944077
217,2022/9/18 11:29,114.2437537,30.5184222,步行,武汉汉阳区,8.871301
218,2022/9/18 11:29,114.2436157,30.5182684,步行,武汉汉阳区,11.440218
219,2022/9/18 11:29,114.2434405,30.5180879,步行,武汉汉阳区,13.584755
220,2022/9/18 11:29,114.2432406,30.5178816,步行,武汉汉阳区,14.975883
221,2022/9/18 11:29,114.24303,30.5176592,步行,武汉汉阳区,14.941269
222,2022/9/18 11:29,114.2428243,30.5174329,步行,武汉汉阳区,15.0346
223,2022/9/18 11:29,114.2426196,30.5172089,步行,武汉汉阳区,14.929637
224,2022/9/18 11:29,114.2424174,30.5169875,步行,武汉汉阳区,15.112662
225,2022/9/18 11:29,114.2422116,30.5167724,步行,武汉汉阳区,15.187728
226,2022/9/18 11:29,114.2420076,30.5165634,步行,武汉汉阳区,14.818316
227,2022/9/18 11:29,114.2418073,30.5163677,步行,武汉汉阳区,14.233734
228,2022/9/18 11:29,114.2416169,30.5161787,步行,武汉汉阳区,14.030531
229,2022/9/18 11:29,114.2414357,30.5159846,步行,武汉汉阳区,14.05928
230,2022/9/18 11:29,114.2412577,30.5157831,步行,武汉汉阳区,14.684827
231,2022/9/18 11:29,114.24107,30.5155733,步行,武汉汉阳区,14.691615
232,2022/9/18 11:29,114.2408756,30.5153637,步行,武汉汉阳区,14.875053
233,2022/9/18 11:29,114.2406842,30.5151544,步行,武汉汉阳区,14.026346
234,2022/9/18 11:29,114.2404996,30.5149628,步行,武汉汉阳区,12.834493
235,2022/9/18 11:30,114.2403426,30.5147981,步行,武汉汉阳区,9.428433
236,2022/9/18 11:30,114.2402484,30.5146543,步行,武汉汉阳区,8.034306
237,2022/9/18 11:30,114.2402905,30.5145212,步行,武汉汉阳区,8.298681
238,2022/9/18 11:30,114.2404602,30.5144119,步行,武汉汉阳区,10.800307
239,2022/9/18 11:30,114.2406812,30.5143084,步行,武汉汉阳区,12.977024
240,2022/9/18 11:30,114.2409279,30.5141995,步行,武汉汉阳区,13.83909
241,2022/9/18 11:30,114.2411829,30.5140855,步行,武汉汉阳区,13.755152
242,2022/9/18 11:30,114.2414321,30.5139743,步行,武汉汉阳区,13.02496
243,2022/9/18 11:30,114.2416668,30.5138614,步行,武汉汉阳区,12.695906
244,2022/9/18 11:30,114.2418977,30.5137451,步行,武汉汉阳区,12.630161
245,2022/9/18 11:30,114.2421283,30.5136288,步行,武汉汉阳区,12.508461
246,2022/9/18 11:30,114.2423646,30.5135155,步行,武汉汉阳区,12.97369
247,2022/9/18 11:30,114.2426047,30.5134005,步行,武汉汉阳区,13.1881895
248,2022/9/18 11:30,114.242845,30.5132832,步行,武汉汉阳区,13.113244
249,2022/9/18 11:30,114.2430805,30.5131623,步行,武汉汉阳区,13.009666
250,2022/9/18 11:30,114.2433098,30.5130403,步行,武汉汉阳区,12.5650215
251,2022/9/18 11:30,114.2435343,30.512926,步行,武汉汉阳区,12.287918
252,2022/9/18 11:30,114.2437559,30.5128149,步行,武汉汉阳区,12.00138
253,2022/9/18 11:30,114.2439694,30.5127065,步行,武汉汉阳区,11.153785
254,2022/9/18 11:30,114.2441638,30.5126217,步行,武汉汉阳区,9.39238
255,2022/9/18 11:30,114.2444606,30.5124873,步行,武汉汉阳区,9.605079
256,2022/9/18 11:30,114.2446655,30.5123869,步行,武汉汉阳区,9.323045
257,2022/9/18 11:30,114.2448416,30.5123474,步行,武汉汉阳区,7.8329344
258,2022/9/18 11:30,114.2450125,30.5123975,步行,武汉汉阳区,8.619577
259,2022/9/18 11:30,114.2451343,30.5125445,步行,武汉汉阳区,10.560953
260,2022/9/18 11:30,114.2452241,30.5127553,步行,武汉汉阳区,12.524764
261,2022/9/18 11:30,114.2453111,30.5129861,步行,武汉汉阳区,13.028913
262,2022/9/18 11:31,114.2453951,30.5132208,步行,武汉汉阳区,12.952517
263,2022/9/18 11:31,114.245482,30.5134442,步行,武汉汉阳区,12.565296
264,2022/9/18 11:31,114.2455799,30.5136518,步行,武汉汉阳区,12.292955
265,2022/9/18 11:31,114.2457,30.5138448,步行,武汉汉阳区,11.542249
266,2022/9/18 11:31,114.245808,30.5140147,步行,武汉汉阳区,8.884755
267,2022/9/18 11:31,114.2459172,30.5141182,步行,武汉汉阳区,6.662042
268,2022/9/18 11:31,114.2460417,30.5141434,步行,武汉汉阳区,5.9351335
269,2022/9/18 11:31,114.2461584,30.5141023,步行,武汉汉阳区,7.716364
270,2022/9/18 11:31,114.2462975,30.5140127,步行,武汉汉阳区,8.841655
271,2022/9/18 11:31,114.2464575,30.5139102,步行,武汉汉阳区,8.336553
272,2022/9/18 11:31,114.2466024,30.5138237,步行,武汉汉阳区,6.2879267
273,2022/9/18 11:31,114.2467002,30.5137481,步行,武汉汉阳区,4.7819963
274,2022/9/18 11:31,114.2467939,30.5136289,步行,武汉汉阳区,2.921458
275,2022/9/18 11:31,114.2468339,30.5135067,步行,武汉汉阳区,3.8564098
276,2022/9/18 11:31,114.2467868,30.5133395,步行,武汉汉阳区,5.6528983
277,2022/9/18 11:31,114.2467253,30.5132085,步行,武汉汉阳区,6.6276546
278,2022/9/18 11:31,114.2466748,30.5130826,步行,武汉汉阳区,6.7190967
279,2022/9/18 11:31,114.2466274,30.512968,步行,武汉汉阳区,5.8139367
280,2022/9/18 11:31,114.2465932,30.5128438,步行,武汉汉阳区,2.3150063
281,2022/9/18 11:31,114.2465765,30.5127284,步行,武汉汉阳区,2.0833972
282,2022/9/18 11:31,114.2465411,30.5126238,步行,武汉汉阳区,4.028914
283,2022/9/18 11:31,114.2464831,30.5125431,步行,武汉汉阳区,5.415816
284,2022/9/18 11:31,114.2464092,30.5124532,步行,武汉汉阳区,5.6590295
285,2022/9/18 11:31,114.2463436,30.5123725,步行,武汉汉阳区,3.498919
286,2022/9/18 11:31,114.246388,30.5123964,步行,武汉汉阳区,1.0916685
287,2022/9/18 11:31,114.2463454,30.5123386,步行,武汉汉阳区,0.6722315
288,2022/9/18 11:31,114.2463572,30.5122549,步行,武汉汉阳区,0.7560123
289,2022/9/18 11:31,114.24638,30.5121607,步行,武汉汉阳区,1.830002
290,2022/9/18 11:31,114.2463812,30.5120419,步行,武汉汉阳区,3.362811
291,2022/9/18 11:32,114.2463077,30.5119093,步行,武汉汉阳区,5.6358814
292,2022/9/18 11:32,114.2462281,30.5118082,步行,武汉汉阳区,6.2907662
293,2022/9/18 11:32,114.2461449,30.5117218,步行,武汉汉阳区,6.2894893
294,2022/9/18 11:32,114.2460602,30.5116435,步行,武汉汉阳区,6.1454034
295,2022/9/18 11:32,114.2459712,30.5115603,步行,武汉汉阳区,6.6677547
296,2022/9/18 11:32,114.2458843,30.5114635,步行,武汉汉阳区,7.3155756
297,2022/9/18 11:32,114.2457939,30.511357,步行,武汉汉阳区,7.4764805
298,2022/9/18 11:32,114.2457029,30.5112475,步行,武汉汉阳区,7.8509073
299,2022/9/18 11:32,114.245601,30.5111401,步行,武汉汉阳区,7.748351
300,2022/9/18 11:32,114.2454926,30.5110335,步行,武汉汉阳区,8.28648
301,2022/9/18 11:32,114.2453681,30.5109177,步行,武汉汉阳区,9.452197
302,2022/9/18 11:32,114.2452318,30.5107965,步行,武汉汉阳区,9.468225
303,2022/9/18 11:32,114.2451045,30.5106633,步行,武汉汉阳区,9.498399
304,2022/9/18 11:32,114.2449866,30.5105238,步行,武汉汉阳区,9.233076
305,2022/9/18 11:32,114.2448692,30.5103834,步行,武汉汉阳区,9.352803
306,2022/9/18 11:32,114.244741,30.5102502,步行,武汉汉阳区,9.8931265
307,2022/9/18 11:32,114.2446017,30.5101151,步行,武汉汉阳区,10.520527
308,2022/9/18 11:32,114.2444552,30.5099797,步行,武汉汉阳区,10.476382
309,2022/9/18 11:32,114.2442998,30.5098403,步行,武汉汉阳区,10.583142
310,2022/9/18 11:32,114.2441329,30.5096924,步行,武汉汉阳区,11.530353
311,2022/9/18 11:32,114.2439582,30.5095393,步行,武汉汉阳区,11.561041
312,2022/9/18 11:32,114.2437872,30.5093838,步行,武汉汉阳区,11.532076
313,2022/9/18 11:32,114.2436178,30.5092256,步行,武汉汉阳区,11.309779
314,2022/9/18 11:32,114.2433596,30.5089609,步行,武汉汉阳区,9.966292
315,2022/9/18 11:33,114.2432082,30.50879,步行,武汉汉阳区,6.8333564
316,2022/9/18 11:33,114.243126,30.5086989,步行,武汉汉阳区,4.1552606
317,2022/9/18 11:33,114.2430032,30.5085596,步行,武汉汉阳区,8.771446
318,2022/9/18 11:33,114.24288,30.508416,步行,武汉汉阳区,10.54902
319,2022/9/18 11:33,114.242632,30.508138,步行,武汉汉阳区,12.212886
320,2022/9/18 11:33,114.2424374,30.5079342,步行,武汉汉阳区,11.391219
321,2022/9/18 11:33,114.2422753,30.5077586,步行,武汉汉阳区,11.5720825
322,2022/9/18 11:34,114.242123,30.5075961,步行,武汉汉阳区,11.946476
323,2022/9/18 11:34,114.2419697,30.5074346,步行,武汉汉阳区,11.758493
324,2022/9/18 11:34,114.241829,30.5072792,步行,武汉汉阳区,9.624653
325,2022/9/18 11:34,114.2417324,30.5071617,步行,武汉汉阳区,5.135052
326,2022/9/18 11:34,114.2416764,30.5070778,步行,武汉汉阳区,3.5073006
327,2022/9/18 11:34,114.2416113,30.5069827,步行,武汉汉阳区,4.5192833
