type,s,x,y,z,yaw,slope,curvature,segment_id,lon,lat
point,21.000,16.933,11.006,125.757,0.57635717,0.28507758,0.00000000,21,113.953364679,22.530098868
point,22.000,17.739,11.530,126.031,0.57635717,0.28507758,0.00000000,22,113.953372521,22.530103576
point,23.000,18.546,12.054,126.306,0.57635717,0.28507758,0.00000000,23,113.953380363,22.530108284
point,24.000,19.352,12.578,126.580,0.57654206,0.26485615,0.00018404,24,113.953388205,22.530112992
point,25.000,20.166,13.108,126.817,0.57690002,0.22570680,0.00017400,25,113.953396118,22.530117747
point,26.000,20.986,13.642,127.020,0.57707325,0.20676058,0.00000000,26,113.953404100,22.530122546
point,27.000,21.807,14.176,127.222,0.57707325,0.20676058,0.00000000,27,113.953412081,22.530127346
point,28.000,22.628,14.710,127.425,0.57707325,0.20676058,0.00000000,28,113.953420063,22.530132145
point,29.000,23.448,15.245,127.627,0.57707325,0.20676058,0.00000000,29,113.953428045,22.530136945
point,30.000,24.269,15.779,127.830,0.57707325,0.20676058,0.00000000,30,113.953436027,22.530141744
point,31.000,25.090,16.313,128.032,0.57707325,0.20676058,0.00000000,31,113.953444008,22.530146543
point,32.000,25.910,16.847,128.235,0.57707325,0.20676058,0.00000000,32,113.953451990,22.530151343
point,33.000,26.731,17.382,128.437,0.57707325,0.20676058,0.00000000,33,113.953459972,22.530156142
point,34.000,27.552,17.916,128.640,0.57707325,0.20676058,0.00000000,34,113.953467953,22.530160942
point,35.000,28.373,18.450,128.842,0.57707325,0.20676058,0.00000000,35,113.953475935,22.530165741
point,36.000,29.193,18.985,129.045,0.57707325,0.20676058,0.00000000,36,113.953483917,22.530170541
point,37.000,30.014,19.519,129.247,0.57707325,0.20676058,0.00000000,37,113.953491898,22.530175340
point,38.000,30.835,20.053,129.450,0.57707325,0.20676058,0.00000000,38,113.953499880,22.530180140
point,39.000,31.655,20.587,129.652,0.57707325,0.20676058,0.00000000,39,113.953507862,22.530184939
point,40.000,32.476,21.122,129.855,0.57707325,0.20676058,0.00000000,40,113.953515843,22.530189739
point,41.000,33.297,21.656,130.057,0.57707325,0.20676058,0.00000000,41,113.953523825,22.530194538
point,42.000,34.118,22.190,130.259,0.57707325,0.20676058,0.00000000,42,113.953531807,22.530199337
point,43.000,34.938,22.724,130.462,0.57707325,0.20676058,0.00000000,43,113.953539789,22.530204137
point,44.000,35.759,23.259,130.664,0.57707325,0.20676058,0.00000000,44,113.953547770,22.530208936
point,45.000,36.580,23.793,130.867,0.57707325,0.20676058,0.00000000,45,113.953555752,22.530213736
point,46.000,37.400,24.327,131.069,0.57707325,0.20676058,0.00000000,46,113.953563734,22.530218535
point,47.000,38.221,24.862,131.272,0.57707325,0.20676058,0.00000000,47,113.953571715,22.530223335
point,48.000,39.042,25.396,131.474,0.57749111,0.17303901,0.00041582,48,113.953579697,22.530228134
point,49.000,39.870,25.936,131.612,0.57819243,0.11644025,0.00028657,49,113.953587753,22.530232987
point,50.000,40.704,26.480,131.705,0.57847803,0.09339196,0.00000000,50,113.953595861,22.530237877
point,51.000,41.537,27.025,131.798,0.57847803,0.09339196,0.00000000,51,113.953603968,22.530242768
point,52.000,42.371,27.569,131.891,0.57847803,0.09339196,0.00000000,52,113.953612076,22.530247658
point,53.000,43.205,28.114,131.984,0.57847803,0.09339196,0.00000000,53,113.953620184,22.530252548
point,54.000,44.038,28.658,132.077,0.57847803,0.09339196,0.00000000,54,113.953628292,22.530257438
point,55.000,44.872,29.202,132.170,0.57847803,0.09339196,0.00000000,55,113.953636399,22.530262329
point,56.000,45.706,29.747,132.263,0.57847803,0.09339196,0.00000000,56,113.953644507,22.530267219
point,57.000,46.539,30.291,132.356,0.57847803,0.09339196,0.00000000,57,113.953652615,22.530272109
point,58.000,47.373,30.835,132.449,0.57847803,0.09339196,0.00000000,58,113.953660723,22.530276999
point,59.000,48.207,31.380,132.542,0.57847803,0.09339196,0.00000000,59,113.953668831,22.530281890
point,60.000,49.040,31.924,132.635,0.57847803,0.09339196,0.00000000,60,113.953676938,22.530286780
point,61.000,49.874,32.469,132.728,0.57847803,0.09339196,0.00000000,61,113.953685046,22.530291670
point,62.000,50.708,33.013,132.821,0.57847803,0.09339196,0.00000000,62,113.953693154,22.530296560
point,63.000,51.541,33.557,132.914,0.57847803,0.09339196,0.00000000,63,113.953701262,22.530301451
point,64.000,52.375,34.102,133.007,0.57847803,0.09339196,0.00000000,64,113.953709369,22.530306341
point,65.000,53.209,34.646,133.100,0.57847803,0.09339196,0.00000000,65,113.953717477,22.530311231
point,66.000,54.042,35.190,133.193,0.57847803,0.09339196,0.00000000,66,113.953725585,22.530316121
point,67.000,54.876,35.735,133.286,0.57847803,0.09339196,0.00000000,67,113.953733693,22.530321012
point,68.000,55.710,36.279,133.379,0.57847803,0.09339196,0.00000000,68,113.953741801,22.530325902
point,69.000,56.543,36.824,133.472,0.57847803,0.09339196,0.00000000,69,113.953749908,22.530330792
point,70.000,57.377,37.368,133.565,0.57847803,0.09339196,0.00000000,70,113.953758016,22.530335683
point,71.000,58.211,37.912,133.658,0.57879532,0.07994117,0.00031708,71,113.953766124,22.530340573
point,72.000,59.045,38.458,133.724,0.57981459,0.03673197,0.00070136,72,113.953774239,22.530345474
point,73.000,59.881,39.006,133.732,0.58051490,0.00704399,0.00000000,73,113.953782371,22.530350401
point,74.000,60.718,39.555,133.739,0.58051490,0.00704399,0.00000000,74,113.953790503,22.530355328
point,75.000,61.554,40.103,133.746,0.58051490,0.00704399,0.00000000,75,113.953798635,22.530360255
point,76.000,62.390,40.652,133.753,0.58051490,0.00704399,0.00000000,76,113.953806767,22.530365181
point,77.000,63.226,41.200,133.760,0.58051490,0.00704399,0.00000000,77,113.953814899,22.530370108
point,78.000,64.062,41.749,133.767,0.58051490,0.00704399,0.00000000,78,113.953823031,22.530375035
point,79.000,64.898,42.297,133.774,0.58051490,0.00704399,0.00000000,79,113.953831163,22.530379961
point,80.000,65.734,42.846,133.781,0.58051490,0.00704399,0.00000000,80,113.953839295,22.530384888
point,81.000,66.571,43.394,133.788,0.58051490,0.00704399,0.00000000,81,113.953847427,22.530389815
point,82.000,67.407,43.942,133.795,0.58051490,0.00704399,0.00000000,82,113.953855559,22.530394742
point,83.000,68.243,44.491,133.802,0.58051490,0.00704399,0.00000000,83,113.953863691,22.530399668
point,84.000,69.079,45.039,133.809,0.58051490,0.00704399,0.00000000,84,113.953871823,22.530404595
point,85.000,69.915,45.588,133.816,0.58051490,0.00704399,0.00000000,85,113.953879955,22.530409522
point,86.000,70.751,46.136,133.823,0.58051490,0.00704399,0.00000000,86,113.953888087,22.530414449
point,87.000,71.588,46.685,133.830,0.58051490,0.00704399,0.00000000,87,113.953896219,22.530419375
point,88.000,72.424,47.233,133.837,0.58051490,0.00704399,0.00000000,88,113.953904351,22.530424302
point,89.000,73.260,47.782,133.844,0.58051490,0.00704399,0.00000000,89,113.953912483,22.530429229
point,90.000,74.096,48.330,133.851,0.58051490,0.00704399,0.00000000,90,113.953920615,22.530434156
point,91.000,74.932,48.878,133.858,0.58051490,0.00704399,0.00000000,91,113.953928747,22.530439082
point,92.000,75.768,49.427,133.865,0.58051490,0.00704399,0.00000000,92,113.953936879,22.530444009
point,93.000,76.605,49.975,133.872,0.58051490,0.00704399,0.00000000,93,113.953945011,22.530448936
point,94.000,77.441,50.524,133.879,0.58115908,0.00354222,0.00064417,94,113.953953143,22.530453862
point,95.000,78.276,51.073,133.879,0.58244884,-0.00346900,0.00064559,95,113.953961269,22.530458799
point,96.000,79.111,51.624,133.873,0.58309443,-0.00697846,0.00000000,96,113.953969387,22.530463745
point,97.000,79.946,52.174,133.866,0.58309443,-0.00697846,0.00000000,97,113.953977505,22.530468691
point,98.000,80.780,52.725,133.859,0.58309443,-0.00697846,0.00000000,98,113.953985623,22.530473637
point,99.000,81.615,53.276,133.852,0.58309443,-0.00697846,0.00000000,99,113.953993742,22.530478583
point,100.000,82.450,53.826,133.845,0.58309443,-0.00697846,0.00000000,100,113.954001860,22.530483529
point,101.000,83.285,54.377,133.838,0.58309443,-0.00697846,0.00000000,101,113.954009978,22.530488475
point,102.000,84.119,54.927,133.831,0.58309443,-0.00697846,0.00000000,102,113.954018096,22.530493421
point,103.000,84.954,55.478,133.824,0.58309443,-0.00697846,0.00000000,103,113.954026215,22.530498368
point,104.000,85.789,56.029,133.817,0.58309443,-0.00697846,0.00000000,104,113.954034333,22.530503314
point,105.000,86.624,56.579,133.810,0.58309443,-0.00697846,0.00000000,105,113.954042451,22.530508260
point,106.000,87.458,57.130,133.803,0.58309443,-0.00697846,0.00000000,106,113.954050569,22.530513206
point,107.000,88.293,57.680,133.796,0.58309443,-0.00697846,0.00000000,107,113.954058687,22.530518152
point,108.000,89.128,58.231,133.789,0.58309443,-0.00697846,0.00000000,108,113.954066806,22.530523098
point,109.000,89.963,58.782,133.782,0.58309443,-0.00697846,0.00000000,109,113.954074924,22.530528044
point,110.000,90.797,59.332,133.775,0.58309443,-0.00697846,0.00000000,110,113.954083042,22.530532990
point,111.000,91.632,59.883,133.768,0.58309443,-0.00697846,0.00000000,111,113.954091160,22.530537936
point,112.000,92.467,60.433,133.761,0.58309443,-0.00697846,0.00000000,112,113.954099279,22.530542882
point,113.000,93.302,60.984,133.754,0.58309443,-0.00697846,0.00000000,113,113.954107397,22.530547828
point,114.000,94.136,61.535,133.747,0.58309443,-0.00697846,0.00000000,114,113.954115515,22.530552775
point,115.000,94.971,62.085,133.740,0.58309443,-0.00697846,0.00000000,115,113.954123633,22.530557721
point,116.000,95.806,62.636,133.733,0.58333818,-0.00210362,0.00024378,116,113.954131752,22.530562667
point,117.000,96.640,63.187,133.736,0.58483472,0.02782522,0.00125344,117,113.954139865,22.530567615
point,118.000,97.472,63.739,133.789,0.58608888,0.05290689,0.00000000,118,113.954147957,22.530572577
point,119.000,98.304,64.291,133.841,0.58608888,0.05290689,0.00000000,119,113.954156048,22.530577539
point,120.000,99.136,64.844,133.894,0.58608888,0.05290689,0.00000000,120,113.954164139,22.530582500
point,121.000,99.968,65.396,133.947,0.58608888,0.05290689,0.00000000,121,113.954172230,22.530587462
point,122.000,100.800,65.948,134.000,0.58608888,0.05290689,0.00000000,122,113.954180321,22.530592424
point,123.000,101.632,66.501,134.053,0.58608888,0.05290689,0.00000000,123,113.954188412,22.530597386
point,124.000,102.464,67.053,134.106,0.58608888,0.05290689,0.00000000,124,113.954196503,22.530602347
point,125.000,103.296,67.605,134.158,0.58608888,0.05290689,0.00000000,125,113.954204594,22.530607309
point,126.000,104.128,68.158,134.211,0.58608888,0.05290689,0.00000000,126,113.954212685,22.530612271
point,127.000,104.960,68.710,134.264,0.58608888,0.05290689,0.00000000,127,113.954220776,22.530617232
point,128.000,105.791,69.262,134.317,0.58608888,0.05290689,0.00000000,128,113.954228867,22.530622194
point,129.000,106.623,69.815,134.370,0.58608888,0.05290689,0.00000000,129,113.954236958,22.530627156
point,130.000,107.455,70.367,134.423,0.58608888,0.05290689,0.00000000,130,113.954245049,22.530632118
point,131.000,108.287,70.919,134.475,0.58608888,0.05290689,0.00000000,131,113.954253140,22.530637079
point,132.000,109.119,71.472,134.528,0.58608888,0.05290689,0.00000000,132,113.954261231,22.530642041
point,133.000,109.951,72.024,134.581,0.58608888,0.05290689,0.00000000,133,113.954269322,22.530647003
point,134.000,110.783,72.576,134.634,0.58608888,0.05290689,0.00000000,134,113.954277413,22.530651964
point,135.000,111.615,73.129,134.687,0.58608888,0.05290689,0.00000000,135,113.954285504,22.530656926
point,136.000,112.447,73.681,134.740,0.58608888,0.05290689,0.00000000,136,113.954293596,22.530661888
point,137.000,113.279,74.233,134.792,0.58608888,0.05290689,0.00000000,137,113.954301687,22.530666849
point,138.000,114.111,74.786,134.845,0.58668009,0.06915881,0.00059214,138,113.954309778,22.530671811
point,139.000,114.940,75.337,134.930,0.58829640,0.11359005,0.00102602,139,113.954317837,22.530676766
point,140.000,115.763,75.888,135.071,0.58932521,0.14187102,0.00000000,140,113.954325842,22.530681709
point,141.000,116.586,76.438,135.211,0.58932521,0.14187102,0.00000000,141,113.954333846,22.530686653
point,142.000,117.409,76.988,135.352,0.58932521,0.14187102,0.00000000,142,113.954341851,22.530691596
point,143.000,118.232,77.538,135.492,0.58932521,0.14187102,0.00000000,143,113.954349856,22.530696539
point,144.000,119.055,78.089,135.633,0.58932521,0.14187102,0.00000000,144,113.954357861,22.530701483
point,145.000,119.878,78.639,135.773,0.58932521,0.14187102,0.00000000,145,113.954365866,22.530706426
point,146.000,120.701,79.189,135.914,0.58932521,0.14187102,0.00000000,146,113.954373870,22.530711369
point,147.000,121.524,79.740,136.054,0.58932521,0.14187102,0.00000000,147,113.954381875,22.530716313
point,148.000,122.347,80.290,136.194,0.58932521,0.14187102,0.00000000,148,113.954389880,22.530721256
point,149.000,123.170,80.840,136.335,0.58932521,0.14187102,0.00000000,149,113.954397885,22.530726199
point,150.000,123.993,81.390,136.475,0.58932521,0.14187102,0.00000000,150,113.954405889,22.530731143
point,151.000,124.816,81.941,136.616,0.58932521,0.14187102,0.00000000,151,113.954413894,22.530736086
point,152.000,125.640,82.491,136.756,0.58932521,0.14187102,0.00000000,152,113.954421899,22.530741029
point,153.000,126.463,83.041,136.897,0.58932521,0.14187102,0.00000000,153,113.954429904,22.530745973
point,154.000,127.286,83.592,137.037,0.58932521,0.14187102,0.00000000,154,113.954437909,22.530750916
point,155.000,128.109,84.142,137.178,0.58932521,0.14187102,0.00000000,155,113.954445913,22.530755859
point,156.000,128.932,84.692,137.318,0.58932521,0.14187102,0.00000000,156,113.954453918,22.530760803
point,157.000,129.755,85.242,137.459,0.58932521,0.14187102,0.00000000,157,113.954461923,22.530765746
point,158.000,130.578,85.793,137.599,0.58932521,0.14187102,0.00000000,158,113.954469928,22.530770690
point,159.000,131.401,86.343,137.740,0.58939972,0.14304446,0.00007452,159,113.954477932,22.530775633
point,160.000,132.224,86.893,137.882,0.59101925,0.16855029,0.00155116,160,113.954485933,22.530780575
point,161.000,133.038,87.442,138.072,0.59257658,0.19307609,0.00000000,161,113.954493854,22.530785501
point,162.000,133.853,87.990,138.261,0.59257658,0.19307609,0.00000000,162,113.954501775,22.530790428
point,163.000,134.667,88.538,138.451,0.59257658,0.19307609,0.00000000,163,113.954509696,22.530795354
point,164.000,135.482,89.087,138.641,0.59257658,0.19307609,0.00000000,164,113.954517617,22.530800280
point,165.000,136.296,89.635,138.830,0.59257658,0.19307609,0.00000000,165,113.954525538,22.530805206
point,166.000,137.111,90.183,139.020,0.59257658,0.19307609,0.00000000,166,113.954533459,22.530810132
point,167.000,137.925,90.732,139.209,0.59257658,0.19307609,0.00000000,167,113.954541380,22.530815058
point,168.000,138.739,91.280,139.399,0.59257658,0.19307609,0.00000000,168,113.954549301,22.530819984
point,169.000,139.554,91.829,139.588,0.59257658,0.19307609,0.00000000,169,113.954557222,22.530824910
point,170.000,140.368,92.377,139.778,0.59257658,0.19307609,0.00000000,170,113.954565144,22.530829837
point,171.000,141.183,92.925,139.968,0.59257658,0.19307609,0.00000000,171,113.954573065,22.530834763
point,172.000,141.997,93.474,140.157,0.59257658,0.19307609,0.00000000,172,113.954580986,22.530839689
point,173.000,142.812,94.022,140.347,0.59257658,0.19307609,0.00000000,173,113.954588907,22.530844615
point,174.000,143.626,94.570,140.536,0.59257658,0.19307609,0.00000000,174,113.954596828,22.530849541
point,175.000,144.441,95.119,140.726,0.59257658,0.19307609,0.00000000,175,113.954604749,22.530854467
point,176.000,145.255,95.667,140.915,0.59257658,0.19307609,0.00000000,176,113.954612670,22.530859393
point,177.000,146.070,96.216,141.105,0.59257658,0.19307609,0.00000000,177,113.954620591,22.530864319
point,178.000,146.884,96.764,141.295,0.59257658,0.19307609,0.00000000,178,113.954628512,22.530869245
point,179.000,147.699,97.312,141.484,0.59257658,0.19307609,0.00000000,179,113.954636433,22.530874172
point,180.000,148.513,97.861,141.674,0.59299732,0.18795158,0.00042038,180,113.954644354,22.530879098
point,181.000,149.328,98.411,141.854,0.59448769,0.16979890,0.00106800,181,113.954652284,22.530884038
point,182.000,150.146,98.965,142.009,0.59555333,0.15681920,0.00000000,182,113.954660238,22.530889017
point,183.000,150.964,99.519,142.163,0.59555333,0.15681920,0.00000000,183,113.954668192,22.530893995
point,184.000,151.782,100.073,142.318,0.59555333,0.15681920,0.00000000,184,113.954676146,22.530898974
point,185.000,152.600,100.627,142.473,0.59555333,0.15681920,0.00000000,185,113.954684100,22.530903952
point,186.000,153.418,101.182,142.628,0.59555333,0.15681920,0.00000000,186,113.954692054,22.530908931
point,187.000,154.235,101.736,142.783,0.59555333,0.15681920,0.00000000,187,113.954700007,22.530913909
point,188.000,155.053,102.290,142.938,0.59555333,0.15681920,0.00000000,188,113.954707961,22.530918887
point,189.000,155.871,102.844,143.093,0.59555333,0.15681920,0.00000000,189,113.954715915,22.530923866
point,190.000,156.689,103.398,143.248,0.59555333,0.15681920,0.00000000,190,113.954723869,22.530928844
point,191.000,157.507,103.953,143.403,0.59555333,0.15681920,0.00000000,191,113.954731823,22.530933823
point,192.000,158.325,104.507,143.558,0.59555333,0.15681920,0.00000000,192,113.954739777,22.530938801
point,193.000,159.143,105.061,143.713,0.59555333,0.15681920,0.00000000,193,113.954747731,22.530943779
point,194.000,159.960,105.615,143.868,0.59555333,0.15681920,0.00000000,194,113.954755685,22.530948758
point,195.000,160.778,106.169,144.023,0.59555333,0.15681920,0.00000000,195,113.954763639,22.530953736
point,196.000,161.596,106.724,144.178,0.59555333,0.15681920,0.00000000,196,113.954771593,22.530958715
point,197.000,162.414,107.278,144.332,0.59555333,0.15681920,0.00000000,197,113.954779547,22.530963693
point,198.000,163.232,107.832,144.487,0.59555333,0.15681920,0.00000000,198,113.954787500,22.530968671
point,199.000,164.050,108.386,144.642,0.59555333,0.15681920,0.00000000,199,113.954795454,22.530973650
point,200.000,164.867,108.940,144.797,0.59605585,0.13016257,0.00050127,200,113.954803408,22.530978628
point,201.000,165.689,109.498,144.900,0.59722738,0.06801637,0.00066928,201,113.954811396,22.530983639
point,202.000,166.515,110.061,144.933,0.59789443,0.03263138,0.00000000,202,113.954819430,22.530988693
point,203.000,167.341,110.623,144.965,0.59789443,0.03263138,0.00000000,203,113.954827464,22.530993747
point,204.000,168.167,111.186,144.998,0.59789443,0.03263138,0.00000000,204,113.954835498,22.530998801
point,205.000,168.993,111.749,145.031,0.59789443,0.03263138,0.00000000,205,113.954843533,22.531003855
point,206.000,169.819,112.311,145.063,0.59789443,0.03263138,0.00000000,206,113.954851567,22.531008909
point,207.000,170.645,112.874,145.096,0.59789443,0.03263138,0.00000000,207,113.954859601,22.531013963
point,208.000,171.471,113.436,145.128,0.59789443,0.03263138,0.00000000,208,113.954867635,22.531019016
point,209.000,172.297,113.999,145.161,0.59789443,0.03263138,0.00000000,209,113.954875669,22.531024070
point,210.000,173.124,114.562,145.194,0.59789443,0.03263138,0.00000000,210,113.954883703,22.531029124
point,211.000,173.950,115.124,145.226,0.59789443,0.03263138,0.00000000,211,113.954891737,22.531034178
point,212.000,174.776,115.687,145.259,0.59789443,0.03263138,0.00000000,212,113.954899771,22.531039232
point,213.000,175.602,116.249,145.291,0.59789443,0.03263138,0.00000000,213,113.954907805,22.531044286
point,214.000,176.428,116.812,145.324,0.59789443,0.03263138,0.00000000,214,113.954915839,22.531049340
point,215.000,177.254,117.375,145.357,0.59789443,0.03263138,0.00000000,215,113.954923873,22.531054394
point,216.000,178.080,117.937,145.389,0.59789443,0.03263138,0.00000000,216,113.954931907,22.531059448
point,217.000,178.906,118.500,145.422,0.59789443,0.03263138,0.00000000,217,113.954939941,22.531064502
point,218.000,179.732,119.062,145.455,0.59789443,0.03263138,0.00000000,218,113.954947975,22.531069556
point,219.000,180.558,119.625,145.487,0.59827531,-0.01486835,0.00038171,219,113.954956009,22.531074610
point,220.000,181.380,120.186,145.425,0.59890931,-0.09393673,0.00025182,220,113.954964004,22.531079647
point,221.000,182.200,120.745,145.300,0.59916149,-0.12538713,0.00000000,221,113.954971973,22.531084674
point,222.000,183.019,121.305,145.176,0.59916149,-0.12538713,0.00000000,222,113.954979942,22.531089701
point,223.000,183.838,121.865,145.052,0.59916149,-0.12538713,0.00000000,223,113.954987911,22.531094728
point,224.000,184.658,122.424,144.927,0.59916149,-0.12538713,0.00000000,224,113.954995880,22.531099754
point,225.000,185.477,122.984,144.803,0.59916149,-0.12538713,0.00000000,225,113.955003849,22.531104781
point,226.000,186.297,123.543,144.678,0.59916149,-0.12538713,0.00000000,226,113.955011818,22.531109808
point,227.000,187.116,124.103,144.554,0.59916149,-0.12538713,0.00000000,227,113.955019787,22.531114834
point,228.000,187.935,124.662,144.430,0.59916149,-0.12538713,0.00000000,228,113.955027756,22.531119861
point,229.000,188.755,125.222,144.305,0.59916149,-0.12538713,0.00000000,229,113.955035725,22.531124888
point,230.000,189.574,125.781,144.181,0.59916149,-0.12538713,0.00000000,230,113.955043694,22.531129914
point,231.000,190.394,126.341,144.056,0.59916149,-0.12538713,0.00000000,231,113.955051663,22.531134941
point,232.000,191.213,126.901,143.932,0.59916149,-0.12538713,0.00000000,232,113.955059632,22.531139968
point,233.000,192.032,127.460,143.808,0.59916149,-0.12538713,0.00000000,233,113.955067601,22.531144994
point,234.000,192.852,128.020,143.683,0.59916149,-0.12538713,0.00000000,234,113.955075570,22.531150021
point,235.000,193.671,128.579,143.559,0.59916149,-0.12538713,0.00000000,235,113.955083539,22.531155048
point,236.000,194.491,129.139,143.434,0.59916149,-0.12538713,0.00000000,236,113.955091508,22.531160075
point,237.000,195.310,129.698,143.310,0.59908651,-0.15106049,0.00007532,237,113.955099477,22.531165101
point,238.000,196.122,130.253,143.136,0.59892509,-0.20633360,0.00008621,238,113.955107375,22.531170082
point,239.000,196.926,130.801,142.906,0.59883844,-0.23600273,0.00000000,239,113.955115193,22.531175010
point,240.000,197.730,131.350,142.676,0.59883844,-0.23600273,0.00000000,240,113.955123012,22.531179938
point,241.000,198.534,131.899,142.447,0.59883844,-0.23600273,0.00000000,241,113.955130830,22.531184866
point,242.000,199.338,132.447,142.217,0.59883844,-0.23600273,0.00000000,242,113.955138648,22.531189795
point,243.000,200.142,132.996,141.987,0.59883844,-0.23600273,0.00000000,243,113.955146467,22.531194723
point,244.000,200.946,133.545,141.758,0.59883844,-0.23600273,0.00000000,244,113.955154285,22.531199651
point,245.000,201.749,134.093,141.528,0.59883844,-0.23600273,0.00000000,245,113.955162104,22.531204579
point,246.000,202.553,134.642,141.298,0.59883844,-0.23600273,0.00000000,246,113.955169922,22.531209508
point,247.000,203.357,135.190,141.069,0.59883844,-0.23600273,0.00000000,247,113.955177740,22.531214436
point,248.000,204.161,135.739,140.839,0.59883844,-0.23600273,0.00000000,248,113.955185559,22.531219364
point,249.000,204.965,136.288,140.609,0.59883844,-0.23600273,0.00000000,249,113.955193377,22.531224293
point,250.000,205.769,136.836,140.380,0.59883844,-0.23600273,0.00000000,250,113.955201196,22.531229221
point,251.000,206.573,137.385,140.150,0.59883844,-0.23600273,0.00000000,251,113.955209014,22.531234149
point,252.000,207.377,137.933,139.920,0.59883844,-0.23600273,0.00000000,252,113.955216832,22.531239077
point,253.000,208.181,138.482,139.690,0.59883844,-0.23600273,0.00000000,253,113.955224651,22.531244006
point,254.000,208.985,139.031,139.461,0.59883844,-0.23600273,0.00000000,254,113.955232469,22.531248934
point,255.000,209.789,139.579,139.231,0.59781364,-0.23684099,0.00102499,255,113.955240287,22.531253862
point,256.000,210.593,140.126,139.000,0.59656483,-0.23786215,0.00022364,256,113.955248114,22.531258774
point,257.000,211.398,140.672,138.768,0.59634118,-0.23804499,0.00000000,257,113.955255942,22.531263682
point,258.000,212.203,141.219,138.537,0.59634118,-0.23804499,0.00000000,258,113.955263770,22.531268590
point,259.000,213.008,141.765,138.305,0.59634118,-0.23804499,0.00000000,259,113.955271598,22.531273498
point,260.000,213.813,142.311,138.074,0.59634118,-0.23804499,0.00000000,260,113.955279426,22.531278406
point,261.000,214.618,142.858,137.842,0.59634118,-0.23804499,0.00000000,261,113.955287254,22.531283314
point,262.000,215.423,143.404,137.610,0.59634118,-0.23804499,0.00000000,262,113.955295082,22.531288222
point,263.000,216.228,143.951,137.379,0.59634118,-0.23804499,0.00000000,263,113.955302911,22.531293129
point,264.000,217.032,144.497,137.147,0.59634118,-0.23804499,0.00000000,264,113.955310739,22.531298037
point,265.000,217.837,145.043,136.916,0.59634118,-0.23804499,0.00000000,265,113.955318567,22.531302945
point,266.000,218.642,145.590,136.684,0.59634118,-0.23804499,0.00000000,266,113.955326395,22.531307853
point,267.000,219.447,146.136,136.453,0.59634118,-0.23804499,0.00000000,267,113.955334223,22.531312761
point,268.000,220.252,146.682,136.221,0.59634118,-0.23804499,0.00000000,268,113.955342051,22.531317669
point,269.000,221.057,147.229,135.989,0.59634118,-0.23804499,0.00000000,269,113.955349879,22.531322577
point,270.000,221.862,147.775,135.758,0.59634118,-0.23804499,0.00000000,270,113.955357707,22.531327485
point,271.000,222.667,148.321,135.526,0.59634118,-0.23804499,0.00000000,271,113.955365535,22.531332393
point,272.000,223.472,148.868,135.295,0.59373164,-0.18505425,0.00258542,272,113.955373363,22.531337301
point,273.000,224.295,149.420,135.163,0.59110636,-0.13174257,0.00006396,273,113.955381367,22.531342263
point,274.000,225.118,149.973,135.033,0.59104241,-0.13044401,0.00000000,274,113.955389375,22.531347227
point,275.000,225.941,150.525,134.904,0.59104241,-0.13044401,0.00000000,275,113.955397383,22.531352191
